Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
2,2.0,Oakland,94612,Lakeside,7645 ,1300.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7765 ,1283.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7780 ,1283.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7800 ,1283.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7948,1391.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7930 ,1391.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7945 ,1391.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,2.0,Oakland,94612,Lakeside,7965 ,1391.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1.0,Oakland,94612,Westlake,2404,515.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2389,515.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2404,515.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2420,515.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2528,504.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2405 ,504.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2420 ,504.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2435 ,504.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Westlake,2450 ,504.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1.0,Oakland,94612,Westlake,2760,756.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1.0,Oakland,94612,Westlake,2760,756.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1.0,Oakland,94612,Westlake,2774,756.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2,2.0,Oakland,94612,Westlake,3498,971.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2,2.0,Oakland,94612,Westlake,3475,971.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2,2.0,Oakland,94612,Westlake,3490,971.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2,2.0,Oakland,94612,Westlake,3506,971.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2,2.0,Oakland,94612,Westlake,3521,971.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1.0,Oakland,94612,Westlake,2978,780.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1.0,Oakland,94612,Westlake,3054,853.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
0,1.0,Oakland,94612,Lakeside,2452,488.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
0,1.0,Oakland,94612,Lakeside,2432,482.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
0,1.0,Oakland,94612,Lakeside,2852,650.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,2872,652.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,2883,690.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,2922,688.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,2940,711.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3000 ,764.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3072,712.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3072,624.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3060,655.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3228,810.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3200 ,805.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3412,931.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
